indexid,filename,title,creator,date,description,subject,place,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
test001,test001.jpg,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test002,test002.jpg,Noll Aduitorium [Bryan Hall],Patton Post Card Co.,1915-11-03,Photographic postcard of Bryan Hall on the Washington State University campus (mislabeled 'Noll Aduitorium'). Card is damaged and held together with tape.,universities;buildings;clock towers (towers);picture postcards,"Pullman, Washington",46.731643,-117.165625,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Postcard_023,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test003,test003.jpg,University farms,,1895,1895 photograph of University Farms. Moscow in background. [PG1_105-15],campuses;farms;horse-drawn vehicles,"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-15,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test004,test004.jpg,"University farms, University of Idaho in distance",,1900,1900 photograph of University Farms. Spanish American War Memorial in background. [PG1_105-16],campuses;farms;fields (land),"Moscow, Idaho",46.729654,-117.024232,"PG 1, University of Idaho Campus Photographs, University of Idaho Library Special Collections and Archives",PG1_105-16,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
test005,test005.jpg,"Administration Building, Washington State College",Johnson,1905,"Photographic postcard of the administration building on the Washington State University campus in Pullman, Washington",universities;buildings;campuses;picture postcards,"Pullman, Washington",46.731465,-117.167398,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_76_02,Image;StillImage,image/jpeg,eng,,http://rightsstatements.org/vocab/NoC-US/1.0/ 
